ProcNum; TaskNum; Alg; FeasNum; InfeasNum; UnkNum
2; 3; Alg2; 0; 49; 51
2; 3; ChwaLee2022; 0; 10; 90
2; 4; Alg2; 0; 69; 31
2; 4; ChwaLee2022; 0; 33; 67
2; 5; Alg2; 0; 78; 22
2; 5; ChwaLee2022; 0; 63; 37
2; 6; Alg2; 0; 85; 15
2; 6; ChwaLee2022; 0; 77; 23
2; 7; Alg2; 0; 88; 12
2; 7; ChwaLee2022; 0; 91; 9
2; 8; Alg2; 0; 87; 13
2; 8; ChwaLee2022; 0; 93; 7
2; 9; Alg2; 0; 93; 7
2; 9; ChwaLee2022; 0; 98; 2
2; 10; Alg2; 0; 94; 6
2; 10; ChwaLee2022; 0; 100; 0
2; 11; Alg2; 0; 98; 2
2; 11; ChwaLee2022; 0; 100; 0
2; 12; Alg2; 0; 98; 2
2; 12; ChwaLee2022; 0; 100; 0
3; 4; Alg2; 0; 66; 34
3; 4; ChwaLee2022; 0; 6; 94
3; 5; Alg2; 0; 68; 32
3; 5; ChwaLee2022; 0; 26; 74
3; 6; Alg2; 0; 80; 20
3; 6; ChwaLee2022; 0; 30; 70
3; 7; Alg2; 0; 78; 22
3; 7; ChwaLee2022; 0; 45; 55
3; 8; Alg2; 0; 93; 7
3; 8; ChwaLee2022; 0; 75; 25
3; 9; Alg2; 0; 93; 7
3; 9; ChwaLee2022; 0; 84; 16
3; 10; Alg2; 0; 98; 2
3; 10; ChwaLee2022; 0; 96; 4
3; 11; Alg2; 0; 99; 1
3; 11; ChwaLee2022; 0; 94; 6
3; 12; Alg2; 0; 100; 0
3; 12; ChwaLee2022; 0; 99; 1
3; 13; Alg2; 0; 99; 1
3; 13; ChwaLee2022; 0; 100; 0
4; 5; Alg2; 0; 59; 41
4; 5; ChwaLee2022; 0; 0; 100
4; 6; Alg2; 0; 81; 19
4; 6; ChwaLee2022; 0; 4; 96
4; 7; Alg2; 0; 91; 9
4; 7; ChwaLee2022; 0; 21; 79
4; 8; Alg2; 0; 93; 7
4; 8; ChwaLee2022; 0; 39; 61
4; 9; Alg2; 0; 95; 5
4; 9; ChwaLee2022; 0; 55; 45
4; 10; Alg2; 0; 95; 5
4; 10; ChwaLee2022; 0; 71; 29
4; 11; Alg2; 0; 99; 1
4; 11; ChwaLee2022; 0; 84; 16
4; 12; Alg2; 0; 98; 2
4; 12; ChwaLee2022; 0; 89; 11
4; 13; Alg2; 0; 99; 1
4; 13; ChwaLee2022; 0; 93; 7
4; 14; Alg2; 0; 100; 0
4; 14; ChwaLee2022; 0; 99; 1
5; 6; Alg2; 0; 82; 18
5; 6; ChwaLee2022; 0; 0; 100
5; 7; Alg2; 0; 86; 14
5; 7; ChwaLee2022; 0; 3; 97
5; 8; Alg2; 0; 87; 13
5; 8; ChwaLee2022; 0; 8; 92
5; 9; Alg2; 0; 96; 4
5; 9; ChwaLee2022; 0; 17; 83
5; 10; Alg2; 0; 96; 4
5; 10; ChwaLee2022; 0; 33; 67
5; 11; Alg2; 0; 100; 0
5; 11; ChwaLee2022; 0; 45; 55
5; 12; Alg2; 0; 98; 2
5; 12; ChwaLee2022; 0; 60; 40
5; 13; Alg2; 0; 98; 2
5; 13; ChwaLee2022; 0; 79; 21
5; 14; Alg2; 0; 99; 1
5; 14; ChwaLee2022; 0; 84; 16
5; 15; Alg2; 0; 99; 1
5; 15; ChwaLee2022; 0; 92; 8
6; 7; Alg2; 0; 82; 18
6; 7; ChwaLee2022; 0; 0; 100
6; 8; Alg2; 0; 92; 8
6; 8; ChwaLee2022; 0; 1; 99
6; 9; Alg2; 0; 94; 6
6; 9; ChwaLee2022; 0; 4; 96
6; 10; Alg2; 0; 96; 4
6; 10; ChwaLee2022; 0; 7; 93
6; 11; Alg2; 0; 99; 1
6; 11; ChwaLee2022; 0; 14; 86
6; 12; Alg2; 0; 99; 1
6; 12; ChwaLee2022; 0; 38; 62
6; 13; Alg2; 0; 99; 1
6; 13; ChwaLee2022; 0; 55; 45
6; 14; Alg2; 0; 100; 0
6; 14; ChwaLee2022; 0; 64; 36
6; 15; Alg2; 0; 99; 1
6; 15; ChwaLee2022; 0; 80; 20
6; 16; Alg2; 0; 100; 0
6; 16; ChwaLee2022; 0; 84; 16
7; 8; Alg2; 0; 88; 12
7; 8; ChwaLee2022; 0; 0; 100
7; 9; Alg2; 0; 96; 4
7; 9; ChwaLee2022; 0; 0; 100
7; 10; Alg2; 0; 97; 3
7; 10; ChwaLee2022; 0; 0; 100
7; 11; Alg2; 0; 96; 4
7; 11; ChwaLee2022; 0; 4; 96
7; 12; Alg2; 0; 98; 2
7; 12; ChwaLee2022; 0; 14; 86
7; 13; Alg2; 0; 99; 1
7; 13; ChwaLee2022; 0; 19; 81
7; 14; Alg2; 0; 98; 2
7; 14; ChwaLee2022; 0; 33; 67
7; 15; Alg2; 0; 100; 0
7; 15; ChwaLee2022; 0; 41; 59
7; 16; Alg2; 0; 100; 0
7; 16; ChwaLee2022; 0; 60; 40
7; 17; Alg2; 0; 100; 0
7; 17; ChwaLee2022; 0; 78; 22
8; 9; Alg2; 0; 95; 5
8; 9; ChwaLee2022; 0; 0; 100
8; 10; Alg2; 0; 96; 4
8; 10; ChwaLee2022; 0; 0; 100
8; 11; Alg2; 0; 96; 4
8; 11; ChwaLee2022; 0; 0; 100
8; 12; Alg2; 0; 98; 2
8; 12; ChwaLee2022; 0; 1; 99
8; 13; Alg2; 0; 98; 2
8; 13; ChwaLee2022; 0; 2; 98
8; 14; Alg2; 0; 99; 1
8; 14; ChwaLee2022; 0; 12; 88
8; 15; Alg2; 0; 100; 0
8; 15; ChwaLee2022; 0; 24; 76
8; 16; Alg2; 0; 100; 0
8; 16; ChwaLee2022; 0; 31; 69
8; 17; Alg2; 0; 100; 0
8; 17; ChwaLee2022; 0; 43; 57
8; 18; Alg2; 0; 100; 0
8; 18; ChwaLee2022; 0; 65; 35
9; 10; Alg2; 0; 94; 6
9; 10; ChwaLee2022; 0; 0; 100
9; 11; Alg2; 0; 97; 3
9; 11; ChwaLee2022; 0; 0; 100
9; 12; Alg2; 0; 99; 1
9; 12; ChwaLee2022; 0; 0; 100
9; 13; Alg2; 0; 100; 0
9; 13; ChwaLee2022; 0; 0; 100
9; 14; Alg2; 0; 98; 2
9; 14; ChwaLee2022; 0; 0; 100
9; 15; Alg2; 0; 100; 0
9; 15; ChwaLee2022; 0; 1; 99
9; 16; Alg2; 0; 100; 0
9; 16; ChwaLee2022; 0; 15; 85
9; 17; Alg2; 0; 100; 0
9; 17; ChwaLee2022; 0; 21; 79
9; 18; Alg2; 0; 99; 1
9; 18; ChwaLee2022; 0; 28; 72
9; 19; Alg2; 0; 100; 0
9; 19; ChwaLee2022; 0; 43; 57
10; 11; Alg2; 0; 100; 0
10; 11; ChwaLee2022; 0; 0; 100
10; 12; Alg2; 0; 99; 1
10; 12; ChwaLee2022; 0; 0; 100
10; 13; Alg2; 0; 98; 2
10; 13; ChwaLee2022; 0; 0; 100
10; 14; Alg2; 0; 99; 1
10; 14; ChwaLee2022; 0; 0; 100
10; 15; Alg2; 0; 100; 0
10; 15; ChwaLee2022; 0; 1; 99
10; 16; Alg2; 0; 100; 0
10; 16; ChwaLee2022; 0; 2; 98
10; 17; Alg2; 0; 100; 0
10; 17; ChwaLee2022; 0; 6; 94
10; 18; Alg2; 0; 100; 0
10; 18; ChwaLee2022; 0; 12; 88
10; 19; Alg2; 0; 100; 0
10; 19; ChwaLee2022; 0; 18; 82
10; 20; Alg2; 0; 100; 0
10; 20; ChwaLee2022; 0; 27; 73
11; 12; Alg2; 0; 97; 3
11; 12; ChwaLee2022; 0; 0; 100
11; 13; Alg2; 0; 98; 2
11; 13; ChwaLee2022; 0; 0; 100
11; 14; Alg2; 0; 99; 1
11; 14; ChwaLee2022; 0; 0; 100
11; 15; Alg2; 0; 100; 0
11; 15; ChwaLee2022; 0; 0; 100
11; 16; Alg2; 0; 100; 0
11; 16; ChwaLee2022; 0; 0; 100
11; 17; Alg2; 0; 100; 0
11; 17; ChwaLee2022; 0; 1; 99
11; 18; Alg2; 0; 99; 1
11; 18; ChwaLee2022; 0; 1; 99
11; 19; Alg2; 0; 100; 0
11; 19; ChwaLee2022; 0; 8; 92
11; 20; Alg2; 0; 100; 0
11; 20; ChwaLee2022; 0; 15; 85
11; 21; Alg2; 0; 100; 0
11; 21; ChwaLee2022; 0; 20; 80
12; 13; Alg2; 0; 99; 1
12; 13; ChwaLee2022; 0; 0; 100
12; 14; Alg2; 0; 100; 0
12; 14; ChwaLee2022; 0; 0; 100
12; 15; Alg2; 0; 100; 0
12; 15; ChwaLee2022; 0; 0; 100
12; 16; Alg2; 0; 99; 1
12; 16; ChwaLee2022; 0; 0; 100
12; 17; Alg2; 0; 100; 0
12; 17; ChwaLee2022; 0; 0; 100
12; 18; Alg2; 0; 100; 0
12; 18; ChwaLee2022; 0; 0; 100
12; 19; Alg2; 0; 100; 0
12; 19; ChwaLee2022; 0; 5; 95
12; 20; Alg2; 0; 100; 0
12; 20; ChwaLee2022; 0; 6; 94
12; 21; Alg2; 0; 100; 0
12; 21; ChwaLee2022; 0; 7; 93
12; 22; Alg2; 0; 100; 0
12; 22; ChwaLee2022; 0; 13; 87
13; 14; Alg2; 0; 99; 1
13; 14; ChwaLee2022; 0; 0; 100
13; 15; Alg2; 0; 100; 0
13; 15; ChwaLee2022; 0; 0; 100
13; 16; Alg2; 0; 100; 0
13; 16; ChwaLee2022; 0; 0; 100
13; 17; Alg2; 0; 100; 0
13; 17; ChwaLee2022; 0; 0; 100
13; 18; Alg2; 0; 100; 0
13; 18; ChwaLee2022; 0; 0; 100
13; 19; Alg2; 0; 100; 0
13; 19; ChwaLee2022; 0; 0; 100
13; 20; Alg2; 0; 100; 0
13; 20; ChwaLee2022; 0; 0; 100
13; 21; Alg2; 0; 100; 0
13; 21; ChwaLee2022; 0; 0; 100
13; 22; Alg2; 0; 100; 0
13; 22; ChwaLee2022; 0; 3; 97
13; 23; Alg2; 0; 100; 0
13; 23; ChwaLee2022; 0; 11; 89
14; 15; Alg2; 0; 100; 0
14; 15; ChwaLee2022; 0; 0; 100
14; 16; Alg2; 0; 100; 0
14; 16; ChwaLee2022; 0; 0; 100
14; 17; Alg2; 0; 100; 0
14; 17; ChwaLee2022; 0; 0; 100
14; 18; Alg2; 0; 100; 0
14; 18; ChwaLee2022; 0; 0; 100
14; 19; Alg2; 0; 100; 0
14; 19; ChwaLee2022; 0; 0; 100
14; 20; Alg2; 0; 100; 0
14; 20; ChwaLee2022; 0; 1; 99
14; 21; Alg2; 0; 100; 0
14; 21; ChwaLee2022; 0; 1; 99
14; 22; Alg2; 0; 100; 0
14; 22; ChwaLee2022; 0; 0; 100
14; 23; Alg2; 0; 100; 0
14; 23; ChwaLee2022; 0; 3; 97
14; 24; Alg2; 0; 100; 0
14; 24; ChwaLee2022; 0; 5; 95
15; 16; Alg2; 0; 99; 1
15; 16; ChwaLee2022; 0; 0; 100
15; 17; Alg2; 0; 100; 0
15; 17; ChwaLee2022; 0; 0; 100
15; 18; Alg2; 0; 100; 0
15; 18; ChwaLee2022; 0; 0; 100
15; 19; Alg2; 0; 100; 0
15; 19; ChwaLee2022; 0; 0; 100
15; 20; Alg2; 0; 100; 0
15; 20; ChwaLee2022; 0; 0; 100
15; 21; Alg2; 0; 100; 0
15; 21; ChwaLee2022; 0; 0; 100
15; 22; Alg2; 0; 100; 0
15; 22; ChwaLee2022; 0; 0; 100
15; 23; Alg2; 0; 100; 0
15; 23; ChwaLee2022; 0; 0; 100
15; 24; Alg2; 0; 100; 0
15; 24; ChwaLee2022; 0; 1; 99
15; 25; Alg2; 0; 100; 0
15; 25; ChwaLee2022; 0; 1; 99
16; 17; Alg2; 0; 100; 0
16; 17; ChwaLee2022; 0; 0; 100
16; 18; Alg2; 0; 100; 0
16; 18; ChwaLee2022; 0; 0; 100
16; 19; Alg2; 0; 100; 0
16; 19; ChwaLee2022; 0; 0; 100
16; 20; Alg2; 0; 100; 0
16; 20; ChwaLee2022; 0; 0; 100
16; 21; Alg2; 0; 100; 0
16; 21; ChwaLee2022; 0; 0; 100
16; 22; Alg2; 0; 100; 0
16; 22; ChwaLee2022; 0; 0; 100
16; 23; Alg2; 0; 100; 0
16; 23; ChwaLee2022; 0; 0; 100
16; 24; Alg2; 0; 100; 0
16; 24; ChwaLee2022; 0; 0; 100
16; 25; Alg2; 0; 100; 0
16; 25; ChwaLee2022; 0; 0; 100
16; 26; Alg2; 0; 100; 0
16; 26; ChwaLee2022; 0; 2; 98
17; 18; Alg2; 0; 100; 0
17; 18; ChwaLee2022; 0; 0; 100
17; 19; Alg2; 0; 100; 0
17; 19; ChwaLee2022; 0; 0; 100
17; 20; Alg2; 0; 100; 0
17; 20; ChwaLee2022; 0; 0; 100
17; 21; Alg2; 0; 100; 0
17; 21; ChwaLee2022; 0; 0; 100
17; 22; Alg2; 0; 100; 0
17; 22; ChwaLee2022; 0; 0; 100
17; 23; Alg2; 0; 100; 0
17; 23; ChwaLee2022; 0; 0; 100
17; 24; Alg2; 0; 100; 0
17; 24; ChwaLee2022; 0; 0; 100
17; 25; Alg2; 0; 100; 0
17; 25; ChwaLee2022; 0; 0; 100
17; 26; Alg2; 0; 100; 0
17; 26; ChwaLee2022; 0; 0; 100
17; 27; Alg2; 0; 100; 0
17; 27; ChwaLee2022; 0; 1; 99
18; 19; Alg2; 0; 100; 0
18; 19; ChwaLee2022; 0; 0; 100
18; 20; Alg2; 0; 100; 0
18; 20; ChwaLee2022; 0; 0; 100
18; 21; Alg2; 0; 100; 0
18; 21; ChwaLee2022; 0; 0; 100
18; 22; Alg2; 0; 100; 0
18; 22; ChwaLee2022; 0; 0; 100
18; 23; Alg2; 0; 100; 0
18; 23; ChwaLee2022; 0; 0; 100
18; 24; Alg2; 0; 100; 0
18; 24; ChwaLee2022; 0; 0; 100
18; 25; Alg2; 0; 100; 0
18; 25; ChwaLee2022; 0; 0; 100
18; 26; Alg2; 0; 100; 0
18; 26; ChwaLee2022; 0; 0; 100
18; 27; Alg2; 0; 100; 0
18; 27; ChwaLee2022; 0; 0; 100
18; 28; Alg2; 0; 100; 0
18; 28; ChwaLee2022; 0; 0; 100
19; 20; Alg2; 0; 100; 0
19; 20; ChwaLee2022; 0; 0; 100
19; 21; Alg2; 0; 100; 0
19; 21; ChwaLee2022; 0; 0; 100
19; 22; Alg2; 0; 100; 0
19; 22; ChwaLee2022; 0; 0; 100
19; 23; Alg2; 0; 100; 0
19; 23; ChwaLee2022; 0; 0; 100
19; 24; Alg2; 0; 100; 0
19; 24; ChwaLee2022; 0; 0; 100
19; 25; Alg2; 0; 100; 0
19; 25; ChwaLee2022; 0; 0; 100
19; 26; Alg2; 0; 100; 0
19; 26; ChwaLee2022; 0; 0; 100
19; 27; Alg2; 0; 100; 0
19; 27; ChwaLee2022; 0; 0; 100
19; 28; Alg2; 0; 100; 0
19; 28; ChwaLee2022; 0; 1; 99
19; 29; Alg2; 0; 100; 0
19; 29; ChwaLee2022; 0; 0; 100
20; 21; Alg2; 0; 100; 0
20; 21; ChwaLee2022; 0; 0; 100
20; 22; Alg2; 0; 100; 0
20; 22; ChwaLee2022; 0; 0; 100
20; 23; Alg2; 0; 100; 0
20; 23; ChwaLee2022; 0; 0; 100
20; 24; Alg2; 0; 100; 0
20; 24; ChwaLee2022; 0; 0; 100
20; 25; Alg2; 0; 100; 0
20; 25; ChwaLee2022; 0; 0; 100
20; 26; Alg2; 0; 100; 0
20; 26; ChwaLee2022; 0; 0; 100
20; 27; Alg2; 0; 100; 0
20; 27; ChwaLee2022; 0; 0; 100
20; 28; Alg2; 0; 100; 0
20; 28; ChwaLee2022; 0; 0; 100
20; 29; Alg2; 0; 100; 0
20; 29; ChwaLee2022; 0; 0; 100
20; 30; Alg2; 0; 100; 0
20; 30; ChwaLee2022; 0; 0; 100
21; 22; Alg2; 0; 100; 0
21; 22; ChwaLee2022; 0; 0; 100
21; 23; Alg2; 0; 100; 0
21; 23; ChwaLee2022; 0; 0; 100
21; 24; Alg2; 0; 100; 0
21; 24; ChwaLee2022; 0; 0; 100
21; 25; Alg2; 0; 100; 0
21; 25; ChwaLee2022; 0; 0; 100
21; 26; Alg2; 0; 100; 0
21; 26; ChwaLee2022; 0; 0; 100
21; 27; Alg2; 0; 100; 0
21; 27; ChwaLee2022; 0; 0; 100
21; 28; Alg2; 0; 100; 0
21; 28; ChwaLee2022; 0; 0; 100
21; 29; Alg2; 0; 100; 0
21; 29; ChwaLee2022; 0; 0; 100
21; 30; Alg2; 0; 100; 0
21; 30; ChwaLee2022; 0; 0; 100
21; 31; Alg2; 0; 100; 0
21; 31; ChwaLee2022; 0; 0; 100
